userid,age,dob_day,dob_year,dob_month,gender,tenure,friend_count,friendships_initiated,likes,likes_received,mobile_likes,mobile_likes_received,www_likes,www_likes_received
2150249,29,20,1984,3,male,837,48,23,22,7,22,5,0,2
1191847,21,1,1992,2,male,1524,48,36,23,3,0,2,23,1
1047270,23,19,1990,3,male,110,49,41,23,0,10,0,13,0
1790977,25,1,1988,11,male,164,48,31,23,1,23,1,0,0
1364156,58,21,1955,2,male,437,48,32,23,12,23,11,0,1
1632937,32,9,1981,6,female,399,48,20,23,36,23,35,0,1
1041981,25,2,1988,1,male,501,48,21,23,64,23,40,0,24
1924720,45,15,1968,12,female,901,49,41,24,3,3,1,21,2
2013019,76,17,1937,12,female,348,48,30,24,32,0,10,24,22
1375741,22,20,1991,5,male,312,48,8,24,48,22,32,2,16
1063479,53,26,1960,8,male,231,49,31,24,0,24,0,0,0
1236913,28,17,1985,12,male,262,49,44,24,1,24,1,0,0
1807873,20,11,1993,4,male,424,48,26,24,8,24,8,0,0
1172468,64,24,1949,3,female,392,49,20,24,20,24,8,0,12
1131516,69,31,1944,7,male,220,49,28,24,22,24,12,0,10
1519499,21,22,1992,12,male,494,48,23,24,72,24,43,0,29
1548966,29,14,1984,1,female,194,48,24,25,29,3,5,22,24
1755567,62,23,1951,9,male,409,48,32,25,22,0,6,25,16
1081788,21,7,1992,6,female,50,48,32,25,103,0,53,25,50
1114424,73,25,1940,1,male,205,48,27,25,2,25,1,0,1
1340901,53,5,1960,5,female,329,48,42,25,9,25,9,0,0
1981387,18,8,1995,11,female,417,49,17,25,10,25,8,0,2
1329261,25,4,1988,6,male,529,48,31,25,6,25,3,0,3
1392048,56,1,1957,4,male,261,48,28,25,20,25,20,0,0
1754224,30,6,1983,7,male,157,49,32,25,38,25,14,0,24
1926956,19,13,1994,1,male,160,48,43,26,22,14,18,12,4
1453171,32,14,1981,3,male,92,49,34,26,8,20,4,6,4
1250933,39,1,1974,8,male,400,48,38,26,33,20,12,6,21
1097195,47,12,1966,1,female,289,48,19,26,15,26,13,0,2
1542974,24,19,1989,8,male,130,49,38,26,18,26,18,0,0
1154718,46,26,1967,10,male,347,49,28,26,62,26,34,0,28
1915219,99,8,1914,10,male,513,48,38,27,4,27,2,0,2
1855163,68,1,1945,11,male,678,49,36,27,1,27,1,0,0
1731463,34,29,1979,3,male,1546,48,13,28,10,24,10,4,0
1344895,27,8,1986,5,male,1818,48,38,28,23,26,22,2,1
2033411,47,1,1966,4,male,224,49,22,28,11,28,8,0,3
1725357,51,16,1962,6,female,153,49,25,28,44,28,12,0,32
1835705,38,14,1975,2,female,522,49,29,29,26,18,7,11,19
1328293,29,31,1984,3,female,233,48,21,29,17,29,11,0,6
1749763,108,19,1905,6,male,203,48,27,29,30,29,20,0,10
1736139,70,7,1943,10,female,269,49,39,29,19,29,11,0,8
1173536,25,12,1988,8,male,213,48,18,29,138,29,131,0,7
2072284,15,22,1998,5,male,410,49,40,31,5,0,0,31,5
1965124,24,4,1989,12,male,944,48,32,31,2,0,1,31,1
2061095,23,7,1990,4,female,611,49,36,31,63,0,29,31,34
1086780,43,6,1970,1,female,1721,49,29,31,60,17,44,14,16
1819106,55,1,1958,2,male,279,48,15,31,148,28,103,3,45
1374184,65,8,1948,4,male,195,49,46,30,238,30,225,0,13
1198565,64,9,1949,2,female,253,48,35,32,5,0,2,32,3
1361122,41,31,1972,2,male,203,48,39,32,3,2,0,30,3
1201673,26,25,1987,7,male,76,49,46,32,13,32,9,0,4
1587869,37,1,1976,10,male,834,49,27,32,17,32,16,0,1
1022194,87,23,1926,3,male,219,48,15,32,49,32,40,0,9
1028897,15,8,1998,1,female,482,49,13,33,4,0,0,33,4
1766058,51,2,1962,7,female,1147,49,31,33,18,0,6,33,12
1303625,57,25,1956,3,female,524,49,17,33,29,21,15,12,14
1257750,31,27,1982,11,female,331,48,26,33,2,31,2,2,0
1414063,88,14,1925,3,male,258,48,13,33,0,33,0,0,0
1114884,57,4,1956,11,female,407,48,29,33,14,33,9,0,5
1697656,48,21,1965,7,female,116,48,45,33,43,33,33,0,10
1303460,63,10,1950,3,male,705,48,28,33,38,33,34,0,4
1632839,24,29,1989,12,male,543,48,33,34,21,0,6,34,15
1235028,65,17,1948,8,female,290,48,39,34,57,14,8,20,49
1428052,108,1,1905,10,female,590,49,21,34,57,26,51,8,6
2176817,17,13,1996,2,male,222,48,23,34,17,34,8,0,9
1085272,33,13,1980,5,male,312,48,18,34,50,34,23,0,27
1798067,66,28,1947,10,female,176,49,27,36,44,0,15,36,29
1679866,18,19,1995,5,female,1806,49,20,36,0,23,0,13,0
1527267,33,23,1980,8,female,1783,48,16,36,6,19,4,17,2
1208063,51,19,1962,12,male,325,48,44,36,4,36,4,0,0
1463057,50,7,1963,7,male,189,49,42,35,21,35,20,0,1
1640959,70,7,1943,4,female,776,49,27,36,43,36,26,0,17
1380683,49,12,1964,3,male,570,48,40,36,145,36,143,0,2
1247997,66,16,1947,11,female,446,48,22,36,55,36,53,0,2
1530105,47,3,1966,1,female,1017,49,21,37,49,6,16,31,33
2170317,14,29,1999,10,female,1428,48,15,37,55,18,25,19,30
1251183,35,30,1978,10,female,358,49,32,37,20,37,7,0,13
2122129,62,1,1951,5,male,109,48,32,37,10,37,6,0,4
1580415,20,30,1993,2,male,392,49,32,38,3,5,1,33,2
1767975,25,13,1988,8,male,1446,49,25,39,49,0,24,39,25
1238388,26,2,1987,4,male,478,49,28,39,4,11,2,28,2
1011033,24,18,1989,1,male,88,48,45,38,12,31,7,7,5
2185025,18,8,1995,7,female,136,48,27,38,73,28,51,10,22
1973633,57,15,1956,1,female,306,48,15,39,8,39,8,0,0
1575898,14,15,1999,1,male,209,49,41,39,19,39,19,0,0
1946865,15,20,1998,8,female,266,48,23,39,17,39,17,0,0
1508930,25,18,1988,5,male,145,48,39,40,21,25,7,15,14
1781674,30,1,1983,3,female,728,48,20,40,35,40,10,0,25
1389001,40,25,1973,7,female,380,49,23,42,6,0,1,42,5
1730062,47,4,1966,2,male,604,49,46,42,1,17,1,25,0
1140701,29,13,1984,1,female,709,49,28,42,103,26,59,16,44
1917395,59,11,1954,9,male,365,48,36,44,8,37,8,7,0
1680474,68,27,1945,3,male,202,48,33,44,35,41,21,3,14
1365783,30,29,1983,6,female,204,48,28,43,65,32,50,11,15
2192349,52,13,1961,9,female,157,49,36,44,6,44,6,0,0
1064365,59,30,1954,5,female,440,49,40,44,10,44,8,0,2
1076021,104,17,1909,8,male,137,48,20,43,49,43,35,0,14
1617942,18,7,1995,1,male,620,48,35,43,39,43,32,0,7
1495489,17,28,1996,9,female,73,48,16,43,117,43,86,0,31
1769700,94,28,1919,12,male,1539,49,18,45,56,43,39,2,17
1072816,36,26,1977,3,male,194,48,39,45,6,45,5,0,1
1972464,37,10,1976,5,female,292,48,22,45,21,45,13,0,8
